nation,total_players_available,top_26_ovr_avg,top_11_ovr_avg,gk_strength,def_strength,mid_strength,att_strength,star_power,squad_depth,balance_score,avg_age_top_26,avg_age_top_11,best_player,best_player_position,best_player_ovr,composite_team_strength,team_strength_category
France,728,84.34615384615384,86.45454545454545,87.0,85.75,84.5,88.33333333333333,88.66666666666667,82.8,98.5743239907562,27.384615384615383,27.90909090909091,Kylian Mbappé,ST,91,87.6344702769351,Tournament Favourite
England,1491,84.11538461538461,86.54545454545455,83.0,84.75,86.75,88.33333333333333,89.33333333333333,82.33333333333333,97.98572800578803,27.115384615384617,26.363636363636363,Jude Bellingham,CAM,90,87.56184521485422,Tournament Favourite
Brazil,357,83.96153846153847,86.63636363636364,89.0,86.0,83.5,87.66666666666667,89.0,82.0,97.94730867720773,27.5,27.545454545454547,Vini Jr.,LW,90,87.45713126661613,Tournament Favourite
Germany,1105,83.96153846153847,86.54545454545455,89.0,86.25,86.75,82.0,88.33333333333333,82.06666666666666,97.46894290858543,29.73076923076923,28.454545454545453,Marc-André ter Stegen,GK,89,87.2635582195046,Tournament Favourite
Spain,893,83.88461538461539,85.54545454545455,86.0,83.75,87.0,83.33333333333333,87.66666666666667,82.66666666666667,98.47204862097426,28.53846153846154,27.727272727272727,Rodri,CDM,91,87.0386394609783,Tournament Favourite
Portugal,334,83.11538461538461,85.81818181818181,84.0,84.75,86.25,85.66666666666667,87.66666666666667,81.13333333333334,99.14000968997708,28.23076923076923,28.363636363636363,Bernardo Silva,CM,88,86.85044201293711,Tournament Favourite
Argentina,861,83.11538461538461,85.45454545454545,87.0,83.25,85.25,87.0,88.0,81.4,98.45383539039338,28.96153846153846,28.454545454545453,Lautaro Martínez,ST,89,86.71024314072683,Tournament Favourite
Italy,511,83.03846153846153,84.81818181818181,89.0,84.5,84.5,83.33333333333333,87.66666666666667,81.73333333333333,97.83013057228474,27.923076923076923,27.272727272727273,Gianluigi Donnarumma,GK,89,86.37857552989865,Tournament Favourite
Holland,390,81.8076923076923,84.0909090909091,79.0,85.0,84.25,81.0,86.66666666666667,80.13333333333334,97.56731244299642,26.26923076923077,26.272727272727273,Virgil van Dijk,CB,89,85.4484535098061,Tournament Favourite
Belgium,292,80.23076923076923,83.18181818181819,89.0,78.75,82.75,83.66666666666667,88.0,78.06666666666666,96.34637736851035,29.346153846153847,29.818181818181817,Kevin De Bruyne,CM,90,84.52174681506675,Tournament Favourite
Uruguay,264,78.57692307692308,82.0,81.0,80.75,83.25,80.33333333333333,85.33333333333333,76.06666666666666,98.86807685773282,28.807692307692307,28.90909090909091,Federico Valverde,CM,88,83.45559614404453,Tournament Favourite
Switzerland,210,78.34615384615384,81.81818181818181,88.0,79.75,81.0,76.66666666666667,87.0,75.8,95.85155023934644,28.423076923076923,29.545454545454547,Gregor Kobel,GK,88,83.10332694149638,Tournament Favourite
Serbia,104,78.11538461538461,81.0,79.0,77.25,82.5,81.66666666666667,84.0,76.0,97.9055504899855,28.192307692307693,28.90909090909091,Sergej Milinković-Savić,CM,85,82.65890949657474,Strong Contender
Croatia,151,77.96153846153847,80.9090909090909,80.0,78.25,82.75,78.66666666666667,84.0,75.8,98.24109409006621,27.923076923076923,30.363636363636363,Luka Modrić,CM,86,82.61665362399944,Strong Contender
Morocco,119,77.57692307692308,80.54545454545455,84.0,79.75,79.75,79.66666666666667,83.66666666666667,75.4,98.14735549371535,27.923076923076923,27.818181818181817,Yassine Bounou,GK,84,82.288397030351,Strong Contender
Austria,273,77.65384615384616,80.54545454545455,74.0,80.5,82.0,78.33333333333333,84.0,75.53333333333333,96.98527917268171,28.615384615384617,28.818181818181817,David Alaba,CB,85,82.19947019758058,Strong Contender
Denmark,326,77.92307692307692,79.45454545454545,80.0,80.0,79.25,77.66666666666667,81.0,76.8,99.04734471956887,27.076923076923077,27.636363636363637,Andreas Christensen,CB,83,81.92080800164162,Strong Contender
Norway,377,76.15384615384616,79.63636363636364,76.0,77.75,79.0,82.66666666666667,87.33333333333333,73.6,97.55450030668577,27.346153846153847,27.363636363636363,Erling Haaland,ST,91,81.87667154949936,Strong Contender
Turkey,241,77.03846153846153,79.45454545454545,77.0,78.5,81.25,77.66666666666667,82.66666666666667,75.26666666666667,98.38263009281529,27.0,26.09090909090909,Hakan Çalhanoğlu,CDM,86,81.6641777307055,Strong Contender
Colombia,226,77.15384615384616,79.18181818181819,77.0,78.5,77.25,81.66666666666667,82.33333333333333,75.66666666666667,98.14279275523704,29.5,29.636363636363637,Luis Díaz,LW,84,81.56582450769116,Strong Contender
Poland,340,76.34615384615384,79.63636363636364,79.0,76.75,78.0,81.0,83.33333333333333,73.93333333333334,98.4450180869219,28.73076923076923,29.0,Robert Lewandowski,ST,88,81.49871075499632,Strong Contender
Ukraine,78,76.61538461538461,78.9090909090909,81.0,77.25,78.75,77.33333333333333,82.66666666666667,74.93333333333334,98.48273821199724,26.846153846153847,25.90909090909091,Artem Dovbyk,ST,84,81.35366947305832,Strong Contender
Nigeria,124,76.65384615384616,78.9090909090909,74.0,75.5,76.75,83.66666666666667,83.66666666666667,75.0,96.29734751608166,26.76923076923077,25.727272727272727,Victor Osimhen,ST,87,81.19355317636331,Strong Contender
Senegal,102,75.92307692307692,78.63636363636364,80.0,77.75,78.5,78.0,82.66666666666667,73.93333333333334,99.12723499726444,26.76923076923077,28.454545454545453,Kalidou Koulibaly,CB,84,81.06642790693232,Strong Contender
Côte d'Ivoire,104,76.88461538461539,79.0,72.0,78.75,80.25,77.33333333333333,81.33333333333333,75.33333333333333,96.88919892417832,26.423076923076923,26.727272727272727,Franck Yannick Kessié,CDM,82,81.06030291554981,Strong Contender
Sweden,365,75.73076923076923,78.72727272727273,74.0,76.0,78.75,81.66666666666667,83.66666666666667,73.53333333333333,97.1112196200934,27.692307692307693,26.181818181818183,Alexander Isak,ST,85,80.8473822437133,Strong Contender
Japan,85,76.1923076923077,79.18181818181819,73.0,77.5,80.25,77.33333333333333,81.0,74.0,97.40568530243534,27.153846153846153,27.545454545454547,Daichi Kamada,CAM,81,80.81295069746321,Strong Contender
Egypt,6,76.83333333333333,76.83333333333333,,,74.5,81.0,81.33333333333333,76.83333333333333,97.91507446120839,29.833333333333332,29.833333333333332,Mohamed Salah,RW,89,80.67059450251458,Strong Contender
Scotland,262,75.57692307692308,78.36363636363636,74.0,78.75,79.5,76.0,82.0,73.53333333333333,97.8035895761493,28.076923076923077,27.454545454545453,Andrew Robertson,LB,85,80.54319577907972,Strong Contender
