match_id,stage,group,group_letter,matchday,team_a,team_b,model_team_a_win_probability,model_draw_probability,model_team_b_win_probability,model_predicted_winner,model_predicted_result,model_team_a_score,model_team_b_score,actual_team_a_score,actual_team_b_score,manual_team_a_score,manual_team_b_score,match_status,effective_team_a_score,effective_team_b_score,effective_source
A1,Group Stage,Group A,A,1,Mexico,South Africa,0.494,0.267,0.24,Mexico,Mexico win,2,1,,,,,predicted,2,1,model_prediction
A2,Group Stage,Group A,A,1,South Korea,Czech Republic,0.346,0.279,0.375,Czech Republic,Czech Republic win,1,2,,,,,predicted,1,2,model_prediction
A3,Group Stage,Group A,A,2,Mexico,South Korea,0.365,0.289,0.346,Mexico,Mexico win,2,1,,,,,predicted,2,1,model_prediction
A4,Group Stage,Group A,A,2,Czech Republic,South Africa,0.547,0.253,0.2,Czech Republic,Czech Republic win,2,1,,,,,predicted,2,1,model_prediction
A5,Group Stage,Group A,A,3,Czech Republic,Mexico,0.436,0.275,0.288,Czech Republic,Czech Republic win,2,1,,,,,predicted,2,1,model_prediction
A6,Group Stage,Group A,A,3,South Africa,South Korea,0.263,0.285,0.452,South Korea,South Korea win,1,2,,,,,predicted,1,2,model_prediction
B1,Group Stage,Group B,B,1,Canada,Bosnia and Herzegovina,0.382,0.309,0.309,Canada,Canada win,2,1,,,,,predicted,2,1,model_prediction
B2,Group Stage,Group B,B,1,Qatar,Switzerland,0.05,0.172,0.778,Switzerland,Switzerland win,0,3,,,,,predicted,0,3,model_prediction
B3,Group Stage,Group B,B,2,Canada,Qatar,0.713,0.202,0.084,Canada,Canada win,3,0,,,,,predicted,3,0,model_prediction
B4,Group Stage,Group B,B,2,Switzerland,Bosnia and Herzegovina,0.557,0.254,0.19,Switzerland,Switzerland win,2,0,,,,,predicted,2,0,model_prediction
B5,Group Stage,Group B,B,3,Switzerland,Canada,0.56,0.233,0.208,Switzerland,Switzerland win,2,0,,,,,predicted,2,0,model_prediction
B6,Group Stage,Group B,B,3,Bosnia and Herzegovina,Qatar,0.721,0.186,0.093,Bosnia and Herzegovina,Bosnia and Herzegovina win,3,0,,,,,predicted,3,0,model_prediction
C1,Group Stage,Group C,C,1,Brazil,Haiti,0.836,0.127,0.038,Brazil,Brazil win,3,0,,,,,predicted,3,0,model_prediction
C2,Group Stage,Group C,C,1,Morocco,Scotland,0.562,0.253,0.185,Morocco,Morocco win,2,0,,,,,predicted,2,0,model_prediction
C3,Group Stage,Group C,C,2,Brazil,Morocco,0.473,0.264,0.263,Brazil,Brazil win,2,1,,,,,predicted,2,1,model_prediction
C4,Group Stage,Group C,C,2,Scotland,Haiti,0.658,0.216,0.126,Scotland,Scotland win,2,0,,,,,predicted,2,0,model_prediction
C5,Group Stage,Group C,C,3,Scotland,Brazil,0.159,0.254,0.588,Brazil,Brazil win,0,2,,,,,predicted,0,2,model_prediction
C6,Group Stage,Group C,C,3,Haiti,Morocco,0.069,0.187,0.744,Morocco,Morocco win,0,3,,,,,predicted,0,3,model_prediction
D1,Group Stage,Group D,D,1,United States,Australia,0.463,0.265,0.271,United States,United States win,2,1,,,,,predicted,2,1,model_prediction
D2,Group Stage,Group D,D,1,Paraguay,Turkey,0.241,0.288,0.471,Turkey,Turkey win,1,2,,,,,predicted,1,2,model_prediction
D3,Group Stage,Group D,D,2,United States,Paraguay,0.432,0.286,0.281,United States,United States win,2,1,,,,,predicted,2,1,model_prediction
